NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;284;01/01/2022;1;3;5.721,32;1;0
1;1;284;01/01/2023;1;3;6.226,66;1;0
1;1;284;01/03/2016;1;1;3.535,55;1;0
1;1;284;01/03/2017;1;3;4.411,90;1;0
1;1;284;01/05/2016;1;3;4.066,40;1;0
1;1;284;01/06/2013;1;20;2.653,35;1;0
1;1;284;01/06/2014;1;20;2.981,03;1;0
1;1;284;01/09/2019;1;4;4.793,83;1;0
1;1;284;01/09/2021;1;3;5.444,73;1;0
1;1;284;01/09/2022;1;3;6.007,39;1;0
1;1;284;01/09/2023;1;3;6.506,86;1;0
1;1;284;01/09/2024;1;3;6.815,94;1;0
1;1;284;01/11/2013;1;1;2.839,08;1;0
1;1;284;01/11/2014;1;20;3.204,60;1;0
1;1;284;01/11/2015;1;20;3.428,92;1;0
1;1;284;01/11/2016;1;3;4.269,72;1;0
1;1;284;01/11/2017;1;3;4.492,64;1;0
1;1;284;01/11/2018;1;3;4.672,35;1;0
1;1;284;01/11/2019;1;27;5.033,52;1;0
1;1;284;06/07/2009;1;1;2.526,00;1;0
1;1;284;12/08/2020;1;3;5.033,52;1;0
1;1;284;14/05/2020;1;28;3.775,14;1;0
1;1;285;01/11/2014;1;20;7.984,02;1;0
1;1;285;01/11/2015;1;3;8.542,90;1;0
1;1;285;02/01/2014;1;1;7.427,00;1;0
1;1;286;01/01/2021;1;3;7.880,25;1;0
1;1;286;01/01/2022;1;3;8.701,22;1;0
1;1;286;01/01/2023;1;3;9.469,76;1;0
1;1;286;01/03/2016;1;3;6.493,57;1;0
1;1;286;01/03/2017;1;3;7.045,30;1;0
1;1;286;01/09/2019;1;27;7.655,19;1;0
1;1;286;01/09/2021;1;3;8.280,57;1;0
1;1;286;01/09/2022;1;3;9.136,28;1;0
1;1;286;01/09/2023;1;3;9.895,90;1;0
1;1;286;01/09/2024;1;3;10.365,96;1;0
1;1;286;01/11/2013;1;20;5.475,09;1;0
1;1;286;01/11/2014;1;20;5.885,72;1;0
1;1;286;01/11/2015;1;20;6.297,72;1;0
1;1;286;01/11/2016;1;3;6.818,25;1;0
1;1;286;01/11/2017;1;3;7.174,23;1;0
1;1;286;01/11/2018;1;3;7.461,20;1;0
1;1;286;02/08/2020;1;3;7.655,19;1;0
1;1;286;04/05/2020;1;28;5.741,39;1;0
1;1;286;10/07/2006;1;1;5.116,00;1;0
1;1;287;01/01/2023;1;3;12.302,76;1;0
1;1;287;01/11/2013;1;3;11.167,36;1;0
1;1;287;08/08/2013;1;1;3.500,00;1;0
1;1;288;01/01/2021;1;3;5.390,13;1;0
1;1;288;01/01/2022;1;3;5.951,68;1;0
1;1;288;01/01/2023;1;3;6.477,36;1;0
1;1;288;01/03/2016;1;3;4.441,64;1;0
1;1;288;01/03/2017;1;3;4.819,02;1;0
1;1;288;01/09/2019;1;27;5.236,19;1;0
1;1;288;01/09/2021;1;3;5.663,95;1;0
1;1;288;01/09/2022;1;3;6.249,26;1;0
1;1;288;01/09/2023;1;3;6.768,84;1;0
1;1;288;01/09/2024;1;3;7.090,36;1;0
1;1;288;01/11/2013;1;20;3.745,00;1;0
1;1;288;01/11/2014;1;20;4.025,87;1;0
1;1;288;01/11/2015;1;20;4.307,68;1;0
1;1;288;01/11/2016;1;3;4.663,72;1;0
1;1;288;01/11/2017;1;3;4.907,21;1;0
1;1;288;01/11/2018;1;3;5.103,50;1;0
1;1;288;02/08/2020;1;3;5.236,19;1;0
1;1;288;04/05/2020;1;28;3.927,14;1;0
1;1;288;19/06/2013;1;1;3.500,00;1;0
1;1;289;01/11/2013;1;20;6.932,62;1;0
1;1;289;09/08/2007;1;1;6.479,00;1;0
1;1;290;01/01/2021;1;3;5.069,17;1;0
1;1;290;01/01/2022;1;3;5.597,28;1;0
1;1;290;01/01/2023;1;3;6.091,66;1;0
1;1;290;01/03/2016;1;3;3.978,24;1;0
1;1;290;01/03/2017;1;3;4.316,25;1;0
1;1;290;01/09/2018;1;3;4.615,00;1;0
1;1;290;01/09/2019;1;27;4.924,39;1;0
1;1;290;01/09/2021;1;3;5.326,68;1;0
1;1;290;01/09/2022;1;3;5.877,14;1;0
1;1;290;01/09/2023;1;3;6.365,78;1;0
1;1;290;01/09/2024;1;3;6.668,15;1;0
1;1;290;01/11/2013;1;20;3.354,28;1;0
1;1;290;01/11/2014;1;20;3.605,85;1;0
1;1;290;01/11/2015;1;20;3.858,25;1;0
1;1;290;01/11/2016;1;3;4.177,15;1;0
1;1;290;01/11/2017;1;4;4.395,24;1;0
1;1;290;01/11/2018;1;3;4.799,60;1;0
1;1;290;02/08/2020;1;3;4.924,39;1;0
1;1;290;04/05/2020;1;28;3.693,29;1;0
1;1;290;13/08/2007;1;1;3.134,00;1;0
1;1;291;01/11/2013;1;20;3.959,00;1;0
1;1;291;11/09/2013;1;1;3.700,00;1;0
1;1;292;01/01/2015;1;20;2.619,00;1;0
1;1;292;01/03/2016;1;3;2.889,48;1;0
1;1;292;01/03/2017;1;3;3.134,98;1;0
1;1;292;01/06/2014;1;20;2.204,20;1;0
1;1;292;01/11/2013;1;1;2.140,00;1;0
1;1;292;01/11/2014;1;5;2.369,51;1;0
1;1;292;01/11/2015;1;20;2.802,33;1;0
1;1;292;01/11/2016;1;3;3.033,95;1;0
1;1;292;10/12/2012;1;1;2.000,00;1;0
1;1;293;01/11/2013;1;20;6.276,28;1;0
1;1;293;09/08/2007;1;1;5.865,00;1;0
1;1;294;01/11/2013;1;20;6.206,00;1;0
1;1;294;01/11/2014;1;4;6.671,45;1;0
1;1;294;04/12/2012;1;1;5.800,00;1;0
1;1;295;01/03/2016;1;3;7.470,50;1;0
1;1;295;01/07/2015;1;20;6.771,20;1;0
1;1;295;01/09/2009;1;1;5.019,00;1;0
1;1;295;01/11/2013;1;20;5.370,73;1;0
1;1;295;01/11/2014;1;4;5.773,53;1;0
1;1;295;01/11/2015;1;20;7.245,18;1;0
1;1;295;01/11/2016;1;3;7.844,03;1;0
1;1;296;01/11/2013;1;20;8.396,92;1;0
1;1;296;01/11/2014;1;20;9.026,68;1;0
1;1;296;01/11/2015;1;20;9.656,68;1;0
1;1;296;06/08/2007;1;1;7.847,00;1;0
1;1;297;01/03/2016;1;3;5.087,93;1;0
1;1;297;01/03/2017;1;3;5.520,23;1;0
1;1;297;01/06/2014;1;20;4.289,92;1;0
1;1;297;01/11/2013;1;1;3.899,93;1;0
