NUMEMP;TIPCOL;NUMCAD;DATDEM;CAUDEM;DATAVI;DATPAG;QTDIND;QTDREA;QTDSSL;QTDFCA;SALFAV;SALFGT;COMRES;REPVAG;SALBAS;AVIPRE;JORSEM;SABCOM;QTDIAC;QTDRAC;TERQUI;ATEOBI;PROTRA
2;1;1075;22/09/2025;2;22/09/2025;30/09/2025;0;0;0;0;8887,27;0,00;SGO - REQUISICAO N.: 202509023800155;N;8887,27;1;1;1;0;0;0;;
2;1;1077;06/01/2024;12;06/01/2024;15/01/2024;0;0;0;0;5800,00;0,00;SGO - REQUISICAO N.: 202401023800090;N;5800,00;1;1;1;0;0;0;;
2;1;1078;17/10/2023;2;17/10/2023;26/10/2023;0;0;0;0;5150,00;0,00;SGO - REQUISICAO N.: 202310023800150;N;5150,00;1;1;1;0;0;0;;
2;1;1080;04/11/2024;2;04/11/2024;13/11/2024;0;0;0;0;8172,20;0,00;SGO - REQUISICAO N.: 202411023800017;N;8172,20;1;1;1;0;0;0;;
2;1;1081;21/12/2023;13;21/12/2023;28/12/2023;0;0;0;0;5000,00;0,00;;N;5000,00;3;1;1;0;0;0;;
2;1;1083;15/08/2025;4;17/07/2025;22/08/2025;0;0;0;0;5618,39;0,00;SGO - REQUISICAO N.: 202508023800105;N;5618,39;1;1;1;0;0;0;;
2;1;1085;19/04/2024;2;19/04/2024;26/04/2024;0;0;0;0;5800,00;0,00;;N;5800,00;3;1;1;0;0;0;;
2;1;1086;03/06/2024;2;03/06/2024;12/06/2024;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202406023800032;N;8000,00;1;1;1;0;0;0;;
2;1;1087;07/02/2025;4;29/01/2025;14/02/2025;0;0;0;0;5092,25;0,00;SGO - REQUISICAO N.: 202502023800037;N;5092,25;4;1;1;0;0;0;;
2;1;1090;02/09/2024;2;02/09/2024;11/09/2024;0;0;0;0;6314,70;0,00;SGO - REQUISICAO N.: 202409023800018;N;6314,70;1;1;1;0;0;0;;
2;1;1091;16/08/2024;4;07/08/2024;23/08/2024;0;0;0;0;6500,00;0,00;SGO - REQUISICAO N.: 202408023800113;N;6500,00;4;1;1;0;0;0;;
2;1;1094;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;6000,00;0,00;SGO - REQUISICAO N.: 202405023800046;N;6000,00;1;1;1;0;0;0;;
2;1;1096;06/01/2025;2;06/01/2025;15/01/2025;0;0;0;0;12221,40;0,00;SGO - REQUISICAO N.: 202501023800016;N;12221,40;1;1;1;0;0;0;;
2;1;1098;01/03/2024;2;01/03/2024;08/03/2024;0;0;0;0;8000,00;0,00;SGO - REQUISICAO N.: 202403023800018;N;8000,00;1;1;1;0;0;0;;
2;1;1101;10/02/2024;12;10/02/2024;19/02/2024;0;0;0;0;5000,00;0,00;;N;5000,00;1;1;1;0;0;0;;
2;1;1102;02/04/2024;2;02/04/2024;11/04/2024;0;0;0;0;2000,00;0,00;SGO - REQUISICAO N.: 202404023800015;N;2000,00;1;1;1;0;0;0;;
2;1;1103;17/10/2024;0;17/10/2024;25/10/2024;0;0;0;0;0,00;0,00;SGO - REQUISICAO N.: 202410023800122;N;0,00;1;1;1;0;0;0;;
2;1;1104;12/06/2024;2;12/06/2024;21/06/2024;0;0;0;0;7000,00;0,00;SGO - REQUISICAO N.: 202406023800077;N;7000,00;1;1;1;0;0;0;;
2;1;1108;17/04/2025;2;17/04/2025;25/04/2025;0;0;0;0;7592,25;0,00;SGO - REQUISICAO N.: 202504023800106;N;7592,25;1;1;1;0;0;0;;
2;1;1111;13/10/2025;2;13/10/2025;22/10/2025;0;0;0;0;6073,80;0,00;SGO - REQUISICAO N.: 202510023800127;N;6073,80;1;1;1;0;0;0;;
2;1;1112;13/10/2025;2;13/10/2025;22/10/2025;0;0;0;0;6073,80;0,00;SGO - REQUISICAO N.: 202510023800120;N;6073,80;1;1;1;0;0;0;;
