NUMEMP;TIPCOL;NUMCAD;DATALT;ESTCAR;CODCAR;CODMOT;;;;;;;;;;
1;1;527;01/10/2023;1;27217;23;;;449;15/04/2019;11;;;449;#N/D;11
1;1;527;18/10/2021;1;7239;1;;;450;06/05/2019;4;;;450;#N/D;4
1;1;531;01/01/2024;1;27229;23;;;451;20/05/2019;27217;;;451;27217;27217
1;1;531;01/12/2023;1;7112;23;;;452;20/05/2019;8;;;452;#N/D;8
1;1;531;02/05/2022;1;27215;1;;;453;10/06/2019;9;;;453;#N/D;9
1;1;534;01/10/2023;1;27217;23;;;454;05/07/2019;2;;;454;#N/D;2
1;1;534;01/08/2022;1;7239;1;;;455;05/07/2019;2;;;455;#N/D;2
1;1;538;01/05/2025;1;7325;4;;;456;04/12/2017;7239;;;456;#N/D;7239
1;1;538;07/11/2022;1;6;1;;;457;01/10/2015;27225;;;457;27225;27225
1;1;541;01/02/2023;1;11;1;;;458;01/10/2015;27225;;;458;27225;27225
1;1;541;01/02/2023;1;27217;14;;;459;09/08/2007;7204;;;459;7204;7204
1;1;550;01/08/2023;1;7122;4;;;460;13/10/2017;7239;;;460;#N/D;7239
1;1;550;17/05/2021;1;49;1;;;461;15/07/2019;2;;;461;#N/D;2
;;;;;;;;;462;18/07/2019;12;;;462;12;12
;;;;;;;;;463;01/08/2019;14;;;463;#N/D;14
;;;;;;;;;464;01/08/2019;27217;;;464;27217;27217
;;;;;;;;;465;15/08/2019;2;;;465;#N/D;2
;;;;;;;;;466;19/08/2019;27217;;;466;27217;27217
;;;;;;;;;467;19/08/2019;8;;;467;#N/D;8
;;;;;;;;;468;19/08/2019;14;;;468;#N/D;14
;;;;;;;;;469;01/10/2019;21;;;469;21;21
;;;;;;;;;470;01/10/2019;27217;;;470;27217;27217
;;;;;;;;;471;07/10/2019;27225;;;471;27225;27225
;;;;;;;;;472;15/10/2019;7206;;;472;#N/D;7206
;;;;;;;;;473;15/10/2019;2;;;473;#N/D;2
;;;;;;;;;474;21/10/2019;27225;;;474;27225;27225
;;;;;;;;;475;21/10/2019;7206;;;475;#N/D;7206
;;;;;;;;;476;04/11/2019;7206;;;476;#N/D;7206
;;;;;;;;;477;04/11/2019;7239;;;477;#N/D;7239
;;;;;;;;;478;07/11/2019;7239;;;478;#N/D;7239
;;;;;;;;;479;18/11/2019;7239;;;479;#N/D;7239
;;;;;;;;;480;07/01/2020;27225;;;480;27225;27225
;;;;;;;;;481;05/10/2020;13;;;481;#N/D;13
;;;;;;;;;482;19/10/2020;7205;;;482;#N/D;7205
;;;;;;;;;483;03/11/2020;12;;;483;#N/D;12
;;;;;;;;;484;03/11/2020;7204;;;484;#N/D;7204
;;;;;;;;;485;11/11/2020;23;;;485;#N/D;23
;;;;;;;;;486;17/11/2020;24;;;486;#N/D;24
;;;;;;;;;487;19/11/2020;27212;;;487;27212;27212
;;;;;;;;;488;17/11/2020;27208;;;488;#N/D;27208
;;;;;;;;;489;17/11/2020;27212;;;489;27212;27212
;;;;;;;;;490;19/11/2020;7206;;;490;#N/D;7206
;;;;;;;;;491;19/11/2020;27224;;;491;27224;27224
;;;;;;;;;493;19/11/2020;7113;;;493;7113;7113
;;;;;;;;;494;19/11/2020;7240;;;494;#N/D;7240
;;;;;;;;;495;19/11/2020;27218;;;495;27218;27218
;;;;;;;;;496;19/11/2020;27225;;;496;27225;27225
;;;;;;;;;497;19/11/2020;27218;;;497;27218;27218
;;;;;;;;;498;25/11/2020;27208;;;498;27208;27208
;;;;;;;;;499;01/12/2020;27208;;;499;#N/D;27208
;;;;;;;;;500;23/11/2020;7206;;;500;#N/D;7206
;;;;;;;;;501;23/11/2020;7240;;;501;#N/D;7240
;;;;;;;;;502;01/12/2020;27216;;;502;27216;27216
;;;;;;;;;503;01/12/2020;7240;;;503;#N/D;7240
;;;;;;;;;504;01/12/2020;7113;;;504;7113;7113
;;;;;;;;;505;01/12/2020;7239;;;505;#N/D;7239
;;;;;;;;;506;01/12/2020;27208;;;506;#N/D;27208
;;;;;;;;;507;01/12/2020;8225;;;507;#N/D;8225
;;;;;;;;;508;01/12/2020;7206;;;508;#N/D;7206
;;;;;;;;;509;02/12/2020;27212;;;509;27212;27212
;;;;;;;;;510;07/12/2020;25;;;510;#N/D;25
;;;;;;;;;511;07/12/2020;7206;;;511;#N/D;7206
;;;;;;;;;512;07/12/2020;27208;;;512;#N/D;27208
;;;;;;;;;513;07/12/2020;7230;;;513;#N/D;7230
;;;;;;;;;514;02/05/2017;27217;;;514;27217;27217
;;;;;;;;;515;02/12/2013;27228;;;515;27228;27228
;;;;;;;;;516;09/08/2007;4208;;;516;4208;4208
;;;;;;;;;517;03/02/2021;27225;;;517;27225;27225
;;;;;;;;;519;08/03/2021;27224;;;519;27224;27224
;;;;;;;;;520;05/04/2021;12;;;520;#N/D;12
;;;;;;;;;521;05/07/2021;2;;;521;#N/D;2
;;;;;;;;;522;05/07/2021;2;;;522;#N/D;2
;;;;;;;;;523;05/07/2021;2;;;523;#N/D;2
;;;;;;;;;524;05/07/2021;2;;;524;#N/D;2
;;;;;;;;;525;02/05/2017;27217;;;525;27217;27217
;;;;;;;;;526;05/08/2021;27225;;;526;27225;27225
;;;;;;;;;527;18/10/2021;27217;;;527;27217;27217
;;;;;;;;;530;02/05/2022;27208;;;530;#N/D;27208
;;;;;;;;;531;02/05/2022;27229;;;531;27229;27229
;;;;;;;;;532;20/06/2022;27212;;;532;#N/D;27212
;;;;;;;;;533;18/07/2022;2;;;533;#N/D;2
;;;;;;;;;534;01/08/2022;27217;;;534;27217;27217
;;;;;;;;;535;01/11/2022;2;;;535;#N/D;2
;;;;;;;;;537;07/11/2022;12;;;537;#N/D;12
;;;;;;;;;538;07/11/2022;7325;;;538;7325;7325
